gamestencilid	gametypeid	stencilfilename	description	comment
cs1-base	cs1	cs1-base.zip	[CS1] Starter Config	Minimum config with autoexec.cfg, server.cfg, etc.
cs1-amx	cs1	cs1-amx.zip	[CS1] MetaMod, AMX-Mod-X	Metamod, AMX-Mod-X starter setup.
cs1-amx-bots	cs1	cs1-amx-bots.zip	[CS1] MetaMod, AMX-Mod-X, Bots	Metamod, AMX-Mod-X plus YaPB.
css-base	css	css-base.zip	[CSS] Starter Config	Minimum config with autoexec.cfg, server.cfg, etc.
css-sm	css	css-sm.zip	[CSS] MetaMod:Source, SourceMod	MMS, SourceMod starter setup.
cs2-base	cs2	cs2-base.zip	[CS2] Starter Config	Minimum config with autoexec.cfg, server.cfg, etc.
dmc-base	dmc	dmc-base.zip	[DMC] Starter Config	Minimum config with autoexec.cfg, server.cfg, etc.
dmc-amx	dmc	dmc-amx.zip	[DMC] MetaMod, AMX-Mod-X	Metamod, AMX-Mod-X starter setup.
dmc-amx-bots	dmc	dmc-amx.bots.zip	[DMC] MetaMod, AMX-Mod-X, Bots	Metamod, AMX-Mod-X plus HPB_Bot.
dod-base	dod	dod-base.zip	[DoD] Starter Config	Minimum config with autoexec.cfg, server.cfg, etc.
dod-amx	dod	dod-amx.zip	[DoD] MetaMod, AMX-Mod-X	Metamod, AMX-Mod-X starter setup.
dod-amx-bots	dod	dod-amx.bots.zip	[DoD] MetaMod, AMX-Mod-X, Bots	Metamod, AMX-Mod-X plus HPB_Bot.
dods-base	dods	dods-base.zip	[DoDS] Starter Config	Minimum config with autoexec.cfg, server.cfg, etc.
dods-sm	dods	dods-sm.zip	[DoDS] MetaMod:Source, SourceMod	MMS, SourceMod starter setup.
fof-base	fof	fof-base.zip	[FoF] Starter Config	Minimum config with autoexec.cfg, server.cfg, etc.
fof-sm	fof	fof-sm.zip	[FoF] MetaMod:Source, SourceMod	MMS, SourceMod starter setup.
hl1-base	hl1	hl1-base.zip	[HL1] Starter Config	Minimum config with autoexec.cfg, server.cfg, etc.
hl1-amx	hl1	hl1-amx.zip	[HL1] MetaMod, AMX-Mod-X	Metamod, AMX-Mod-X starter setup.
hl1-amx-bots	hl1	hl1-amx-bots.zip	[HL1] MetaMod, AMX-Mod-X, Bots	Metamod, AMX-Mod-X plus JKBotti.
tf2-base	tf2	tf2-base.zip	[TF2] Starter Config	Minimum config with autoexec.cfg, server.cfg, etc.
tf2-sm	tf2	tf2-sm.zip	[TF2] MetaMod:Source, SourceMod	MMS, SourceMod starter setup.
tfc-base	tfc	tfc-base.zip	[TFC] Starter Config	Minimum config with autoexec.cfg, server.cfg, etc.
tfc-amx	tfc	tfc-amx.zip	[TFC] MetaMod, AMX-Mod-X	Metamod, AMX-Mod-X starter setup.
tfc-amx-bots	tfc	tfc-amx-bots.zip	[TFC] MetaMod, AMX-Mod-X, Bots	Metamod, AMX-Mod-X plus FoxBot.
