GameTypeID	GameEngine	SteamLogin	AppIDInstall	AppIDCheck	SteamCMDMod	ExtraSteamCMDOptions	ModSubFolder	AltStartScript	Description	WarnStopText	WarnStopAudio	WarnUpdateText	WarnUpdateAudio	Comment
cs1	goldsrc	anonymous	90	10	cstrike		cstrike		Counter-Strike 1.6 (CS1)	amx_say ALERT: Server shutting-down or restarting NOW!	amx_sound_play sound/weaselslair/alerts/alert-shutdown-initiated.mp4	amx_say ALERT: Server restaring shortly for an update!	amx_sound_play sound/weaselslair/alerts/alert-update-cs1.mp3	Tested!
dmc	goldsrc	anonymous	90	40	dmc		dmc		Deathmatch Classic (DMC)	amx_say ALERT: Server shutting-down or restarting NOW!	amx_sound_play sound/weaselslair/alerts/alert-shutdown-initiated.mp3	amx_say ALERT: Server restaring shortly for an update!	amx_sound_play sound/weaselslair/alerts/alert-update-dmc.mp3	Tested!
dod	goldsrc	anonymous	90	20	dod		dod		Day of Defeat (DoD)	amx_say ALERT: Server shutting-down or restarting NOW!	amx_sound_play sound/weaselslair/alerts/alert-shutdown-initiated.mp5	amx_say ALERT: Server restaring shortly for an update!	amx_sound_play sound/weaselslair/alerts/alert-update-game.mp3	Tested!
hl1	goldsrc	anonymous	90	70	valve		valve		Half-Life (HL1)	amx_say ALERT: Server shutting-down or restarting NOW!	amx_sound_play sound/weaselslair/alerts/alert-shutdown-initiated.mp3	amx_say ALERT: Server restaring shortly for an update!	amx_sound_play sound/weaselslair/alerts/alert-update-hl1.mp3	Tested!
tfc	goldsrc	anonymous	90	20	tfc		tfc		Team Fortress Classic (TFC)	amx_say ALERT: Server shutting-down or restarting NOW!	amx_sound_play sound/weaselslair/alerts/alert-shutdown-initiated.mp3	amx_say ALERT: Server restaring shortly for an update!	amx_sound_play sound/weaselslair/alerts/alert-update-tfc.mp3	Tested!
bshift	goldsrc	anonymous	90	40	bshift		bshift		Half-Life: Blue Shift (Bshift)	amx_say ALERT: Server shutting-down or restarting NOW!	amx_sound_play sound/weaselslair/alerts/alert-shutdown-initiated.mp3	amx_say ALERT: Server restaring shortly for an update!	amx_sound_play sound/weaselslair/alerts/alert-update-dmc.mp3	Untested.
op4	goldsrc	anonymous	90	50	gearbox		gearbox		Half-Life: Opposing Force (Op4)	amx_say ALERT: Server shutting-down or restarting NOW!	amx_sound_play sound/weaselslair/alerts/alert-shutdown-initiated.mp3	amx_say ALERT: Server restaring shortly for an update!	amx_sound_play sound/weaselslair/alerts/alert-update-game.mp3	Untested.
hlds	goldsrc	anonymous	90	90					Half-Life Dedicated Server (HLDS)	amx_say ALERT: Server shutting-down or restarting NOW!	amx_sound_play sound/weaselslair/alerts/alert-shutdown-initiated.mp3	amx_say ALERT: Server restaring shortly for an update!	amx_sound_play sound/weaselslair/alerts/alert-update-game.mp3	Untested. Template for installing various "mods" on top of.
css	source	anonymous	232330	240			cstrike		Counter-Strike:Source (CSS)	sm_say ALERT: Server shutting-down or restarting NOW!	sm_play @humans sound/weaselslair/alerts/alert-shutdown-initiated.mp4	sm_say ALERT: Server restaring shortly for an update!	sm_play @humans sound/weaselslair/alerts/alert-update-css.mp3	Tested!
dods	source	anonymous	232290	300			dod		Day of Defeat:Source (DoDS)	sm_say ALERT: Server shutting-down or restarting NOW!	sm_play @humans sound/weaselslair/alerts/alert-shutdown-initiated.mp5	sm_say ALERT: Server restaring shortly for an update!	sm_play @humans sound/weaselslair/alerts/alert-update-game.mp3	Tested!
tf2	source	anonymous	232250	440			tf	./srcds_run_64	Team Fortress 2 (TF2)	sm_say ALERT: Server shutting-down or restarting NOW!	sm_play @humans sound/weaselslair/alerts/alert-shutdown-initiated.mp5	sm_say ALERT: Server restaring shortly for an update!	sm_play @humans sound/weaselslair/alerts/alert-update-tf2.mp3	Tested!
tf2c	source	anonymous	3557020	3545060			tf2classified	./srcds.sh	Team Fortress 2 Classified (TF2C)	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Tested! Be sure to set -tf_path ./sometf2serverinstallpath
hl2dm	source	anonymous	232370	320			hl2mp		Half-Life 2 Deathmatch (HL2DM)	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Untested.
